setting,pair,geometry,scheme,t_cheap,t_full,system,variant,n,affected,harmed,harmed_share_affected,harmed_share_all,rho,sum_V,all_full_reduction,oracle20_reduction,affected_same_action,note
RT 480->640|mono|S0,RT 480->640,mono,S0,0.25,0.25,traj,own,8008,492,223,0.4532520325203252,0.027847152847152848,0.5781172213940101,528.7662414703784,0.02957236084247574,0.07009615547757264,182.0,
RT 480->640|mono|S0,RT 480->640,mono,S0,0.25,0.25,traj,shared,8008,295,128,0.43389830508474575,0.015984015984015984,0.5789355639166351,525.4553432115335,0.02938719191461261,0.0697926241122733,0.0,
RT 480->640|mono|S0,RT 480->640,mono,S0,0.25,0.25,traj,memoryless,8008,295,130,0.4406779661016949,0.016233766233766232,0.5783960397114234,526.0584682115336,0.029437201104012645,0.06982192739333772,0.0,
RT 480->640|oracle|S0,RT 480->640,oracle,S0,0.25,0.25,brake,own,8008,2186,1006,0.4602012808783166,0.12562437562437562,0.8794636040136695,282.4127777065287,0.04853633352401433,0.4026695267172176,782.0,
RT 480->640|oracle|S0,RT 480->640,oracle,S0,0.25,0.25,brake,shared,8008,1404,661,0.4707977207977208,0.08254245754245754,0.8836211820682492,267.5027777065287,0.0459738548050271,0.3950362756905482,0.0,
RT 480->640|oracle|S0,RT 480->640,oracle,S0,0.25,0.25,brake,memoryless,8008,1404,660,0.4700854700854701,0.08241758241758242,0.8841880307548637,264.2327777065286,0.046527924651014164,0.4017540238222678,0.0,
RT 480->640|oracle|S0,RT 480->640,oracle,S0,0.25,0.25,lateral,own,8008,116,50,0.43103448275862066,0.006243756243756244,0.4576886080897078,17.11673712169493,0.009912284650832687,0.01827784700578882,58.0,
RT 480->640|oracle|S0,RT 480->640,oracle,S0,0.25,0.25,lateral,shared,8008,59,28,0.4745762711864407,0.0034965034965034965,0.4682205845180895,14.816737121694922,0.008580357044839419,0.016135180857017015,0.0,
RT 480->640|oracle|S0,RT 480->640,oracle,S0,0.25,0.25,lateral,memoryless,8008,61,35,0.5737704918032787,0.004370629370629371,0.44008683194512777,14.816737121694928,0.00869210269001265,0.015524019054970348,0.0,
RT 480->640|oracle|S0,RT 480->640,oracle,S0,0.25,0.25,traj,own,8008,111,45,0.40540540540540543,0.005619380619380619,0.14385802141937168,35.685122332089065,0.014345384889985484,0.016755848035589008,46.0,
RT 480->640|oracle|S0,RT 480->640,oracle,S0,0.25,0.25,traj,shared,8008,57,21,0.3684210526315789,0.0026223776223776225,0.14078155527512326,33.2605031314536,0.013370690300989004,0.015561456324730471,0.0,
RT 480->640|oracle|S0,RT 480->640,oracle,S0,0.25,0.25,traj,memoryless,8008,57,21,0.3684210526315789,0.0026223776223776225,0.13061947193445064,33.173003131453605,0.0133728609323031,0.01538205710916821,0.0,
nuSc Y8 320->640|mono|S0,nuSc Y8 320->640,mono,S0,0.25,0.25,brake,own,3376,454,192,0.42290748898678415,0.05687203791469194,0.41219725678313957,247.18972446712473,0.16645983528587036,0.28318995990880896,181.0,
nuSc Y8 320->640|mono|S0,nuSc Y8 320->640,mono,S0,0.25,0.25,brake,shared,3376,273,108,0.3956043956043956,0.031990521327014215,0.40702802872656824,244.50972446712473,0.16465509862245187,0.2776777092327792,0.0,
nuSc Y8 320->640|mono|S0,nuSc Y8 320->640,mono,S0,0.25,0.25,brake,memoryless,3376,273,104,0.38095238095238093,0.030805687203791468,0.40097091083559006,245.46972446712476,0.16836044165916872,0.2810555358739185,0.0,
nuSc Y8 320->640|mono|S0,nuSc Y8 320->640,mono,S0,0.25,0.25,lateral,own,3376,75,37,0.49333333333333335,0.010959715639810427,1.2513609259344736,-4.396901180946397,-0.021303550605197796,0.08475283310641286,31.0,
nuSc Y8 320->640|mono|S0,nuSc Y8 320->640,mono,S0,0.25,0.25,lateral,shared,3376,44,26,0.5909090909090909,0.007701421800947867,1.361491855540523,-5.596901180946396,-0.02711770463645461,0.07501608741891756,0.0,
nuSc Y8 320->640|mono|S0,nuSc Y8 320->640,mono,S0,0.25,0.25,lateral,memoryless,3376,44,25,0.5681818181818182,0.00740521327014218,1.322326109242451,-4.896901180946397,-0.025652612921434968,0.07958589821260577,0.0,
