track,geometry,system,target,n_test_frames,n_test_units,n_affected,rate_target,oracle_prize,all_cheap_loss,ndg_defined,undefined_reason,variant,signal,policy,available,rate_realised,rate_unit_min,rate_unit_max,gain,gain_share_all_cheap,ndg,tau,tie_p,ndg_lo,ndg_hi,boot_dropped,minus_random,minus_random_lo,minus_random_hi,budget_level,budget_ms,cheap_ms,full_ms,overhead_ms,feasible,note
nuScenes,oracle,brake,J,955.0,24.0,25.0,0.1,47.32780447811231,246.6178238736764,True,,V2,R1_gbm_clf,B,True,0.05340314136125655,0.0,0.1,1.3192305690662076,0.00534929125699345,0.02787432427118634,0.050629539,0.10000000000002274,0.0,0.13504840069953541,8.0,0.007815632172984097,-0.05458179478799454,0.13489944408126098,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,25.0,0.1,47.32780447811231,246.6178238736764,True,,TEST,R1_gbm_clf,A_expected,True,0.10052356020942407,,,2.036316247163117,0.008256971110920868,0.04302579149017682,0.043170097,1.0,,,,,,,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,25.0,0.1,47.32780447811231,246.6178238736764,True,,official,R2_cnn_clf,C,True,0.10052356020942409,,,-6.704712483275277,-0.027186650088639144,-0.14166540276289397,,,-0.6347202950065847,0.16784161872927683,8.0,-0.19941706668218373,-0.605731352082351,0.11098441890835035,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,25.0,0.1,47.32780447811231,246.6178238736764,True,R2's cached scores cover the test frames only; calibrating a threshold would need the image model re-run,V1,R2_cnn_clf,A,False,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,25.0,0.1,47.32780447811231,246.6178238736764,True,R2's cached scores cover the test frames only; calibrating a threshold would need the image model re-run,V2,R2_cnn_clf,A,False,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,25.0,0.1,47.32780447811231,246.6178238736764,True,,TEST,R2_cnn_clf,A_expected,True,0.10052356020942407,,,-6.704712483275277,-0.027186650088639144,-0.14166540276289397,0.038246304,1.0,,,,,,,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,25.0,0.2,47.32780447811231,246.6178238736764,True,,V1+V2,random,A,True,0.19833115183246072,0.08136677220137586,0.32155448717948715,5.558217893081325,0.022537778518102482,0.11744085647691166,,,-0.10146801146086123,0.19027454056683243,8.0,,,,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,25.0,0.2,47.32780447811231,246.6178238736764,True,,V1+V2,random,B,True,0.16479057591623036,0.0804853619449656,0.21519308943089432,4.266350966507264,0.017299442917364283,0.09014470486329706,,,-0.10151555508862448,0.1546407297726985,8.0,,,,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,25.0,0.2,47.32780447811231,246.6178238736764,True,,official,uncertainty,C,True,0.2,,,0.6973319606346469,0.002827581355157189,0.014734086407011378,,,-0.4133807222187064,0.3985492542344986,8.0,-0.07804705938696796,-0.41135045088490757,0.3003414963614819,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,25.0,0.2,47.32780447811231,246.6178238736764,True,,V1,uncertainty,A,True,0.11727748691099477,0.0,0.6153846153846154,0.006105612506871694,2.4757385378597517e-05,0.0001290068824066275,2.935892582,0.20000000000000284,-0.25641376651182957,0.12811755464681232,8.0,-0.1132739705744232,-0.27827551919709825,0.06607040045573745,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,25.0,0.2,47.32780447811231,246.6178238736764,True,,V1,uncertainty,B,True,0.06387434554973823,0.0,0.225,2.2822650823488484,0.009254258457482293,0.04822250065295819,2.935892582,0.20000000000000284,-0.07980830009472754,0.15499007808956958,8.0,-0.031000453246278845,-0.15901498353346272,0.1408395352552609,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,25.0,0.2,47.32780447811231,246.6178238736764,True,,V2,uncertainty,A,True,0.12984293193717278,0.0,0.717948717948718,-0.13270237113053085,-0.0005380891334054761,-0.002803898735507617,2.730758905,0.20000000000004547,-0.26273096439100946,0.12640255659137847,8.0,-0.1170004979141558,-0.2873364227610646,0.061276633827763195,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,25.0,0.2,47.32780447811231,246.6178238736764,True,,V2,uncertainty,B,True,0.06701570680628273,0.0,0.225,2.143457098711446,0.00869141193869822,0.04528959503504394,2.730758905,0.20000000000004547,-0.0894412183331335,0.15156653401481776,8.0,-0.03472698058601144,-0.1656514273232161,0.13383646476515337,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,25.0,0.2,47.32780447811231,246.6178238736764,True,,TEST,uncertainty,A_expected,True,0.19999999999999998,,,0.6973319606346466,0.002827581355157188,0.014734086407011373,2.351928949,1.0,,,,,,,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,25.0,0.2,47.32780447811231,246.6178238736764,True,,official,criticality_cheap,C,True,0.2,,,22.25923913179825,0.09025803075450041,0.4703205520994002,,,0.08286646798580088,0.843055502826959,8.0,0.37350308585751746,-0.04998116698161351,0.8082299333749395,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,25.0,0.2,47.32780447811231,246.6178238736764,True,,V1,criticality_cheap,A,True,0.1382198952879581,0.0,1.0,17.792479201032542,0.07214595815323664,0.3759413604166031,0.649014607,0.20000000000000284,0.07900116793250911,0.7259017731314106,8.0,0.29894538044344887,-0.058123348745018025,0.7266766481664145,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,25.0,0.2,47.32780447811231,246.6178238736764,True,,V1,criticality_cheap,B,True,0.07225130890052356,0.0,0.20512820512820512,15.29166164886126,0.06200550069201007,0.3231010146674603,0.649014607,0.20000000000000284,0.06308863475123885,0.703121333622988,8.0,0.27026697493329543,-0.03363231467425383,0.7134727740534212,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,25.0,0.2,47.32780447811231,246.6178238736764,True,,V2,criticality_cheap,A,True,0.14764397905759163,0.0,1.0,22.220686118364952,0.090101703799588,0.46950595666531186,0.614773825,0.20000000000004547,0.08590760613281063,0.862456992834486,8.0,0.38949861336514324,-0.04860745042194794,0.8271865085087132,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,25.0,0.2,47.32780447811231,246.6178238736764,True,,V2,criticality_cheap,B,True,0.07539267015706806,0.0,0.20512820512820512,15.19635657805039,0.06161905226215251,0.3210872920394659,0.614773825,0.20000000000004547,0.05924138154378145,0.7006571632469325,8.0,0.2676570544223438,-0.038098651655768374,0.7095259176197106,,,,,,,
nuScenes,oracle,brake,J,955.0,24.0,25.0,0.2,47.32780447811231,246.6178238736764,True,,TEST,criticality_cheap,A_expected,True,0.19999999999999998,,,22.259239131798253,0.09025803075450042,0.4703205520994003,0.449402949,1.0,,,,,,,,,,,,,
