geometry,target,signal,deployable,quota,eta,n_escalated,boot_dropped,n_frames,lo,hi,minus_random,minus_random_lo,minus_random_hi,p_le_random,minus_unc_sum,minus_unc_sum_lo,minus_unc_sum_hi
mono,brake,crit_sum (GT geometry),False,0.1,0.0772385858982263,338.0,0,3376,0.0070010076997509075,0.16447675918581073,0.020443279531040557,-0.0501883756833237,0.10794534382682208,0.32,-0.08239566548584577,-0.3495276606070807,0.1144415059225553
mono,brake,dE_E6_risk_weighted (needs FULL),False,0.1,0.15824876986212294,338.0,0,3376,0.03891143966283382,0.31195297867214866,0.11144875461642435,-0.010252628089392202,0.24417196729596205,0.04,0.008609809599538018,-0.30645519268308363,0.2577878197369219
mono,brake,linear (OOF by scene),True,0.1,0.3464674649751746,338.0,0,3376,0.23244977582648912,0.5206260793742227,0.2931780745084414,0.16798341143092724,0.4745952210052398,0.0,0.1903391294915551,-0.10548428443692022,0.4631919790354364
mono,brake,linear (OOF by scene) [escalate only pred>0],True,0.1,0.3464674649751746,338.0,0,3376,0.23244977582648912,0.5206260793742227,0.2931780745084414,0.16798341143092724,0.4745952210052398,0.0,0.1903391294915551,-0.10548428443692022,0.4631919790354364
mono,brake,gbm (OOF by scene),True,0.1,0.3657146932349064,338.0,0,3376,0.25742173918995115,0.530285204997835,0.30802725617845733,0.19483849583441118,0.47611747552663014,0.0,0.205188311161571,-0.07519881154891912,0.46547987340411656
mono,brake,gbm (OOF by scene) [escalate only pred>0],True,0.1,0.3657146932349064,338.0,0,3376,0.25742173918995115,0.530285204997835,0.30802725617845733,0.19483849583441118,0.47611747552663014,0.0,0.205188311161571,-0.07519881154891912,0.46547987340411656
mono,brake,random,True,0.2,0.11855926558340238,675.0,0,3376,,,,,,,,,
mono,brake,unc_sum (eta-table uncertainty),True,0.2,0.24698358188073744,675.0,0,3376,0.08507949869244284,0.3818223856315428,0.12026660933169127,-0.0400582578342064,0.2709437571032106,0.0775,,,
mono,brake,feat_ent_mean (gate uncertainty),True,0.2,0.14353491616652203,675.0,0,3376,0.07441538054990965,0.27838977460811926,0.04622032089669514,-0.042733197572948335,0.17827833920927075,0.1875,-0.07404628843499612,-0.2762540856902889,0.13596054711503083
mono,brake,crit_sum (GT geometry),False,0.2,0.1764053073874749,675.0,0,3376,0.04657618895722901,0.32935400827260886,0.0691290936143552,-0.06548066025424584,0.20781369021888071,0.1675,-0.05113751571733607,-0.3090620823310302,0.18246671656156915
mono,brake,dE_E6_risk_weighted (needs FULL),False,0.2,0.22663684210831522,675.0,0,3376,0.07015156092071814,0.41581177319163515,0.11701717671319596,-0.03295140662191889,0.2902928320572162,0.0775,-0.0032494326184953006,-0.2904528595829339,0.29305065915751066
mono,brake,linear (OOF by scene),True,0.2,0.36879119244316444,675.0,0,3376,0.23944067139278313,0.5442469338962264,0.260380558432158,0.11592142439779456,0.44157523252229597,0.0,0.14011394910046676,-0.08422202226896744,0.37362456583411857
